"","x","y","extent","depth","vdepth","horizontal","relief","skyline","building","sdi","greeney","pavement"
"149",13467982.4385014,303918.990779996,23500,2296.3313192257,194.322042971698,9800,2.35890334385813,318.812210572411,0.00851063829787234,0.58,0.119148936170213,0.425531914893617
"150",13468002.5734213,303880.524744307,22800,3161.98611544346,277.148451506781,10500,2.79388766277736,300.162125085905,0.0482456140350877,0.658,0.100877192982456,0.469298245614035
"151",13468021.8889414,303841.640744798,20900,284.361742848256,62.553155681952,9700,2.75299792562521,10.6316721787143,0.0430622009569378,0.764,0.129186602870813,0.449760765550239
"152",13468076.8566108,303723.557349543,11700,3039.92323618419,361.450871794359,3900,1.00944738265232,354.260199510754,0.0683760683760684,0.825,0.136752136752137,0.376068376068376
"153",13468177.908353,303679.337235052,3000,140.929292144666,39.7221038684241,300,0.04998779296875,5.53363826962603,0.1,0.97,0,0.3
"154",13468134.5889538,303753.651492803,10100,386.236175543301,48.1374777303966,3600,1.05250278747212,7.54847433223867,0.0891089108910891,0.734,0.0693069306930693,0.415841584158416
"155",13468084.6952923,303823.828332512,13000,319.890428250199,72.1275948977623,7900,1.89516585832593,28.0903561612557,0.0769230769230769,0.554,0.0692307692307692,0.530769230769231
"156",13468060.6206817,303859.510083513,18400,3100.25504530232,260.163253079159,8800,2.03221908600202,237.581746630366,0.0652173913043478,0.726,0.0978260869565217,0.467391304347826
"157",13468018.1451675,303934.39359392,16400,327.083792993238,82.348223191084,6900,2.88896103317234,28.0628573340976,0.109756097560976,0.815,0.048780487804878,0.384146341463415
"158",13467997.4266526,303972.133168067,19800,1838.735713494,183.239690314059,9100,3.09552085894672,254.167561457349,0.0454545454545455,0.614,0.101010101010101,0.414141414141414
"159",13467976.5922501,304009.809166725,16600,2364.01568622375,303.315912479022,6500,2.99489998575777,324.720253726502,0.0180722891566265,0.467,0.168674698795181,0.427710843373494
"160",13468439.9036431,303007.152693505,20200,779.614128892043,74.7356994187611,4200,0.224976772329374,153.630204466388,0.0742574257425743,1.337,0.267326732673267,0.0495049504950495
